year,overall_rating,player_name,z
2014,74.6,Kris Commons,1.0029826720935222
2011,75.0,Felix Bastians,1.0574079516313457
2007,78.0,Pierre Wome,1.4655975481650154
2010,75.0,Marcio Mossoro,1.0574079516313457
2011,77.0,Marcio Mossoro,1.3295343493204588
2012,77.0,Marcio Mossoro,1.3295343493204588
2013,77.66666666666667,Marcio Mossoro,1.4202431485501639
2014,77.0,Marcio Mossoro,1.3295343493204588
2015,74.66666666666667,Marcio Mossoro,1.0120535520164942
2009,79.0,Alex Song,1.601660747009572
2010,81.5,Alex Song,1.9418187441209633
2011,82.0,Alex Song,2.0098503435432415
2012,82.5,Alex Song,2.07788194296552
2013,83.0,Alex Song,2.1459135423877984
2014,81.5,Alex Song,1.9418187441209633
2015,79.33333333333333,Alex Song,1.6470151466244236
2016,78.0,Alex Song,1.4655975481650154
2008,79.0,Manuel Almunia,1.601660747009572
2009,81.0,Manuel Almunia,1.8737871446986851
2010,77.5,Manuel Almunia,1.3975659487427372
2011,75.0,Manuel Almunia,1.0574079516313457
2008,82.0,Mathieu Flamini,2.0098503435432415
2009,79.5,Mathieu Flamini,1.6696923464318503
2010,79.0,Mathieu Flamini,1.601660747009572
2011,77.5,Mathieu Flamini,1.3975659487427372
2012,77.5,Mathieu Flamini,1.3975659487427372
2013,76.42857142857143,Mathieu Flamini,1.2517839499807124
2014,77.8,Mathieu Flamini,1.4383849083961038
2015,76.4,Mathieu Flamini,1.2478964300137256
2016,76.33333333333333,Mathieu Flamini,1.2388255500907537
2007,79.5,David Bentley,1.6696923464318503
2008,82.0,David Bentley,2.0098503435432415
2009,80.5,David Bentley,1.805755545276407
2010,78.5,David Bentley,1.5336291475872936
2011,77.0,David Bentley,1.3295343493204588
2007,75.0,Quincy Owusu-Abeyie,1.0574079516313457
2009,76.5,Aaron Hughes,1.2615027498981806
2010,77.0,Aaron Hughes,1.3295343493204588
2011,75.5,Aaron Hughes,1.125439551053624
2007,80.5,Gareth Barry,1.805755545276407
2008,84.0,Gareth Barry,2.281976741232355
2009,83.0,Gareth Barry,2.1459135423877984
2010,83.0,Gareth Barry,2.1459135423877984
2011,80.5,Gareth Barry,1.805755545276407
2012,81.5,Gareth Barry,1.9418187441209633
2013,79.75,Gareth Barry,1.7037081461429895
2014,80.0,Gareth Barry,1.7377239458541285
2015,79.5,Gareth Barry,1.6696923464318503
2009,77.0,Gary Cahill,1.3295343493204588
2010,78.5,Gary Cahill,1.5336291475872936
2011,78.5,Gary Cahill,1.5336291475872936
2012,79.0,Gary Cahill,1.601660747009572
2013,79.6,Gary Cahill,1.6832986663163052
2014,80.2,Gary Cahill,1.7649365856230403
2015,82.33333333333333,Gary Cahill,2.055204743158093
2016,82.0,Gary Cahill,2.0098503435432415
2007,75.5,Gavin McCann,1.125439551053624
2010,76.0,Liam Ridgewell,1.1934711504759021
2011,75.0,Liam Ridgewell,1.0574079516313457
2007,77.0,Steven Davis,1.3295343493204588
2008,75.5,Steven Davis,1.125439551053624
2009,77.5,Steven Davis,1.3975659487427372
2010,79.5,Steven Davis,1.6696923464318503
2011,76.5,Steven Davis,1.2615027498981806
2012,75.0,Steven Davis,1.0574079516313457
2014,75.375,Steven Davis,1.1084316511980543
2015,76.0,Steven Davis,1.1934711504759021
2016,76.0,Steven Davis,1.1934711504759021
